# schema: 1
# generated_at: 2026-08-14 09:57:46 +08:00
# system_version: 0.5
# visual_spec_version: 1
# source_registry_version: 1
# 本檔是可重建的檢索索引，不是規則權威來源。命中後讀source_path；未命中時定向搜尋來源後才能判定NEW_GAP。
rule_uid	origin	source_rule_id	source_path	section_anchor	scope_tags	trigger_tags	validator_ids	regression_ids	status
IMG-SRC-01	system	IMG-SRC-01	02_通用品質規則.md	SRC：來源與內容保全	source;traceability	source;missing-source			active
IMG-SRC-02	system	IMG-SRC-02	02_通用品質規則.md	SRC：來源與內容保全	source;safety	overwrite;delete;destructive			active
IMG-SRC-03	system	IMG-SRC-03	02_通用品質規則.md	SRC：來源與內容保全	source;factuality	unreadable;uncertain;hallucination			active
IMG-SRC-04	system	IMG-SRC-04	02_通用品質規則.md	SRC：來源與內容保全	source;transformation	rotate;crop;resize;color			active
IMG-CONTENT-01	system	IMG-CONTENT-01	02_通用品質規則.md	CONTENT：內容正確性	content;purpose	wrong-purpose;wrong-audience			active
IMG-CONTENT-02	system	IMG-CONTENT-02	02_通用品質規則.md	CONTENT：內容正確性	content;meaning	wrong-text;wrong-number;wrong-symbol;wrong-mapping			active
IMG-CONTENT-03	system	IMG-CONTENT-03	02_通用品質規則.md	CONTENT：內容正確性	content;visibility	occlusion;crop;mislabel			active
IMG-CONTENT-04	system	IMG-CONTENT-04	02_通用品質規則.md	CONTENT：內容正確性	content;provenance	inference;illustration;fact			active
IMG-LAYOUT-01	system	IMG-LAYOUT-01	02_通用品質規則.md	LAYOUT：版面與可讀性	layout;canvas	overflow;invisible			active
IMG-LAYOUT-02	system	IMG-LAYOUT-02	02_通用品質規則.md	LAYOUT：版面與可讀性	layout;collision	overlap;crossing;edge			active
IMG-LAYOUT-03	system	IMG-LAYOUT-03	02_通用品質規則.md	LAYOUT：版面與可讀性	layout;hierarchy	alignment;spacing;reading-order			active
IMG-LAYOUT-04	system	IMG-LAYOUT-04	02_通用品質規則.md	LAYOUT：版面與可讀性	layout;readability	text-small;view-size			active
IMG-LAYOUT-05	system	IMG-LAYOUT-05	02_通用品質規則.md	LAYOUT：版面與可讀性	layout;adaptation	space-shortage;crowding			active
IMG-STYLE-01	system	IMG-STYLE-01	02_通用品質規則.md	STYLE：風格與一致性	style;template	drift;template			active
IMG-STYLE-02	system	IMG-STYLE-02	02_通用品質規則.md	STYLE：風格與一致性	style;authorization	unapproved-change			active
IMG-STYLE-03	system	IMG-STYLE-03	02_通用品質規則.md	STYLE：風格與一致性	style;component	new-class;new-component			active
IMG-STYLE-04	system	IMG-STYLE-04	02_通用品質規則.md	STYLE：風格與一致性	style;batch	inconsistent-version;exception			active
IMG-STYLE-05	system	IMG-STYLE-05	02_通用品質規則.md	STYLE：風格與一致性	style;adaptation	unconstrained-area			active
IMG-TEXT-01	system	IMG-TEXT-01	02_通用品質規則.md	TEXT：文字與標註	text;language	wrong-language;terminology;tone			active
IMG-TEXT-02	system	IMG-TEXT-02	02_通用品質規則.md	TEXT：文字與標註	text;internal-data	qa-leak;reasoning-leak			active
IMG-TEXT-03	system	IMG-TEXT-03	02_通用品質規則.md	TEXT：文字與標註	annotation;mapping	unclear-mapping;legend			active
IMG-TEXT-04	system	IMG-TEXT-04	02_通用品質規則.md	TEXT：文字與標註	text;rendering	typo;missing-glyph;mojibake;spacing			active
IMG-TEXT-05	system	IMG-TEXT-05	02_通用品質規則.md	TEXT：文字與標註	annotation;coverage	missing-explanation;wrong-target			active
IMG-OUTPUT-01	system	IMG-OUTPUT-01	02_通用品質規則.md	OUTPUT：成果與資料管理	output;separation	mixed-state;wrong-folder			active
IMG-OUTPUT-02	system	IMG-OUTPUT-02	02_通用品質規則.md	OUTPUT：成果與資料管理	output;user-entry	internal-file;history-leak			active
IMG-OUTPUT-03	system	IMG-OUTPUT-03	02_通用品質規則.md	OUTPUT：成果與資料管理	output;naming	collision;ambiguous-name;revision			active
IMG-OUTPUT-04	system	IMG-OUTPUT-04	02_通用品質規則.md	OUTPUT：成果與資料管理	output;safety	overwrite;move;replace			active
IMG-QA-01	system	IMG-QA-01	02_通用品質規則.md	QA：驗證與宣稱	qa;basic	missing-check			active
IMG-QA-02	system	IMG-QA-02	02_通用品質規則.md	QA：驗證與宣稱	qa;evidence	false-pass;overclaim			active
IMG-QA-03	system	IMG-QA-03	02_通用品質規則.md	QA：驗證與宣稱	qa;independence	circular-validation			active
IMG-QA-04	system	IMG-QA-04	02_通用品質規則.md	QA：驗證與宣稱	qa;user-confirmation	status-confusion			active
IMG-QA-05	system	IMG-QA-05	02_通用品質規則.md	QA：驗證與宣稱	qa;integrity	rule-relaxation			active
IMG-QA-06	system	IMG-QA-06	02_通用品質規則.md	QA：驗證與宣稱	qa;systemic	repeat-defect			active
IMG-QA-07	system	IMG-QA-07	02_通用品質規則.md	QA：驗證與宣稱	qa;evidence	missing-evidence-source			active
